id,name,tactic,summary
TK0001,Goal setting,TA01,
TK0002,Population research / audience analysis (centre of gravity),TA01,
TK0003,Campaign design (objective design),TA01,
TK0004,Identify target subgroups,TA02,
TK0005,Analyse subgroups,TA02,
TK0006,create master narratives,TA02,
TK0007,Decide on techniques (4Ds etc),TA02,
TK0008,Create subnarratives,TA02,
TK0009,4chan/8chan coordinating content,TA02,
TK0010,Create personas,TA03,
TK0011,Recruit contractors,TA03,
TK0012,Recruit partisans,TA03,
TK0013,find influencers,TA03,
TK0014,Network building,TA04,
TK0015,Network infiltration,TA04,
TK0016,identify targets - susceptible audience members in networks,TA04,
TK0017,content creation,TA06,
TK0018,content appropriation,TA06,
TK0019,anchor trust / credibility,TA08,
TK0020,insert themes,TA08,
TK0021,"deamplification (suppression, censoring)",TA09,
TK0022,amplification,TA09,
TK0023,retention,TA11,
TK0024,customer relationship,TA11,
TK0025,advocacy/ zealotry,TA11,
TK0026,conversion,TA11,
TK0027,keep recruiting/prospecting,TA11,
TK0028,evaluation,TA12,
TK0029,post-mortem,TA12,
TK0030,after-action analysis,TA12,
TK0031,,,
TK0032,,,
TK0033,,,
TK0034,,,
TK0035,,,
TK0036,,,
